"tract","rPov_A6to17","wPov_A6to17","nPov_A6to17","rPov_A5","wPov_A5","nPov_A5","rPov_Alt5","wPov_Alt5","nPov_Alt5","rBirths_A15to19","wBirths_A15to19","nBirths_A15to19","nAll"
"250400",0.408405172413793,928,379,NA,0,0,0.793193717277487,382,303,0.0941176470588235,170,16,5963
"250500",0.232934553131597,1421,331,0,111,0,0.130841121495327,428,56,0,268,0,7663
"250600",0.250396196513471,631,158,0,6,0,0.195439739413681,307,60,0,205,0,4450
"250700",0.539198606271777,1148,619,0.803571428571429,56,45,0.586805555555556,288,169,0,214,0,5813
"250800",0.411214953271028,428,176,0.733333333333333,15,11,0.700787401574803,127,89,0,33,0,2438
"251000",0.475409836065574,305,145,0.2,20,4,0.644444444444444,45,29,0,139,0,1284
"251100",0.383177570093458,856,328,0,72,0,0.271604938271605,162,44,0,164,0,4346
"251200",0.385467980295567,812,313,0,52,0,0.266409266409266,259,69,0,146,0,4375
"251300",0.516129032258065,744,384,0.3125,32,10,0.391509433962264,212,83,0.141975308641975,162,23,4735
"251400",0.509433962264151,795,405,0,37,0,0.251121076233184,223,56,0,281,0,4347
